Name	Description	GTEX-11DXW-0011-R3b-SM-DNZZE	GTEX-11DZ1-0011-R3a-SM-DNZYY	GTEX-11GSO-0011-R3b-SM-57WB2	GTEX-11GSP-0011-R3a-SM-9QEGF	GTEX-11UD1-0011-R3a-SM-5BC6S	GTEX-11WQC-0011-R3a-SM-DO11T	GTEX-11WQK-0011-R3b-SM-DO93K	GTEX-11ZTS-0011-R3a-SM-5BC78	GTEX-11ZVC-0011-R3a-SM-5BC6V	GTEX-12WSC-0011-R3a-SM-5P9F1	GTEX-12WSD-0011-R3b-SM-5LZWN	GTEX-12WSF-0011-R3a-SM-5DUW7	GTEX-12WSM-0011-R3b-SM-5LZWI	GTEX-12ZZW-0011-R3a-SM-5DUWW	GTEX-12ZZX-0011-R3b-SM-5EGLH	GTEX-12ZZZ-0011-R3b-SM-5DUXK	GTEX-13112-0011-R3b-SM-5HL9L	GTEX-1313W-0011-R3a-SM-5EGLI	GTEX-131XH-0011-R3b-SM-5DUWM	GTEX-131YS-0011-R3b-SM-5DUXB	GTEX-139T8-0011-R3b-SM-5HL4R	GTEX-139TT-0011-R3b-SM-5K7VL	GTEX-13CF2-0011-R3b-SM-5LZZ6	GTEX-13CIG-0011-R3b-SM-5K7XF	GTEX-13CZV-0011-R3a-SM-5KM27	GTEX-13FHO-0011-R3b-SM-5K7YA	GTEX-13FLV-0011-R3b-SM-5LZYP	GTEX-13IVO-0011-R3b-SM-5IJBJ	GTEX-13JVG-0011-R3b-SM-5LZXF	GTEX-13N1W-0011-R3a-SM-5MR5E	GTEX-13N2G-0011-R3b-SM-5MR5G	GTEX-13NYB-0011-R3b-SM-A9SM4	GTEX-13NYS-0011-R3b-SM-5MR41	GTEX-13O3O-0011-R3b-SM-5KM3R	GTEX-13O3Q-0011-R3a-SM-5P9H3	GTEX-13OVH-0011-R3a-SM-5KM49	GTEX-13OVL-0011-R3b-SM-5L3I8	GTEX-13OW5-0011-R3a-SM-5L3I5	GTEX-13OW7-0011-R3a-SM-5O9DA	GTEX-13OW8-0011-R3a-SM-5L3I4	GTEX-13PLJ-0011-R3a-SM-5O9DT	GTEX-13PVQ-0011-R3b-SM-5O9D6	GTEX-13QIC-0011-R3a-SM-5P9HT	GTEX-13RTJ-0011-R3a-SM-5PNX7	GTEX-13RTL-0011-R3a-SM-5P9JP	GTEX-13S7M-0011-R3a-SM-5PNX2	GTEX-13SLW-0011-R3b-SM-5SI6Y	GTEX-13VXU-0011-R3b-SM-5O9CU	GTEX-13X6I-0011-R3b-SM-5P9HM	GTEX-13X6J-0011-R3b-SM-5P9K5	GTEX-13X6K-0011-R3b-SM-5PNUD	GTEX-1445S-0011-R3a-SM-5P9HY	GTEX-144GL-0011-R3a-SM-5P9HP	GTEX-145LS-0011-R3a-SM-5S2VJ	GTEX-145LU-0011-R3a-SM-5P9K2	GTEX-145MG-0011-R3b-SM-5SI67	GTEX-145MH-0011-R3b-SM-5P9JQ	GTEX-1477Z-0011-R3b-SM-5PNX9	GTEX-148VJ-0011-R3b-SM-69LQJ	GTEX-14BIM-0011-R3b-SM-5S2RL	GTEX-14BIN-0011-R3b-SM-6AJBL	GTEX-14BMV-0011-R3a-SM-5ZZU7	GTEX-14C39-0011-R3b-SM-5YYA3	GTEX-14DAQ-0011-R3b-SM-5YYAJ	GTEX-14E7W-0011-R3b-SM-5YYB5	GTEX-14JG1-0011-R3a-SM-62LEC	GTEX-14JIY-0011-R3a-SM-5YYAQ	GTEX-14LLW-0011-R3b-SM-62LFW	GTEX-14LZ3-0011-R3a-SM-664NQ	GTEX-14PJM-0011-R3b-SM-5ZZV9	GTEX-14PJO-0011-R3a-SM-6AJBY	GTEX-14PN4-0011-R3b-SM-686ZU	GTEX-14PQA-0011-R3b-SM-69LQO	GTEX-15CHQ-0011-R3b-SM-686ZY	GTEX-15DCD-0011-R3b-SM-D4P1P	GTEX-15DYW-0011-R3b-SM-6LPIM	GTEX-15EO6-0011-R3b-SM-7KUDY	GTEX-15ER7-0011-R3a-SM-6LPIK	GTEX-15G19-0011-R3a-SM-6LPIG	GTEX-15SHU-0011-R3a-SM-7IGPS	GTEX-16XZZ-0011-R3a-SM-7IGLH	GTEX-16YQH-0011-R3a-SM-7EPGM	GTEX-17EVP-0011-R3a-SM-7EPI9	GTEX-17EVQ-0011-R3b-SM-7LT9B	GTEX-17F97-0011-R3b-SM-7LT9E	GTEX-17HHY-0011-R3a-SM-7EWDK	GTEX-17HII-0011-R3a-SM-7LT9D	GTEX-18A6Q-0011-R3a-SM-718A7	GTEX-1A3MX-0011-R3b-SM-79OOW	GTEX-1B8L1-0011-R3a-SM-7EPIO	GTEX-1B933-0011-R3b-SM-7P8PL	GTEX-1B996-0011-R3b-SM-9QEGY	GTEX-1BAJH-0011-R3a-SM-7IGNU	GTEX-1C6WA-0011-R3a-SM-9OSVP	GTEX-1CB4G-0011-R3a-SM-CE6QQ	GTEX-1CB4H-0011-R3b-SM-9OSVI	GTEX-1E1VI-0011-R3a-SM-9OSWH	GTEX-1EH9U-0011-R3b-SM-CL534	GTEX-1EMGI-0011-R3b-SM-CE6R9	GTEX-1EN7A-0011-R3a-SM-9OSVT	GTEX-1EU9M-0011-R3a-SM-9QEHY	GTEX-1EX96-0011-R3b-SM-ARZMH	GTEX-1F48J-0011-R3b-SM-9OSVY	GTEX-1F52S-0011-R3a-SM-CKZNI	GTEX-1F6I4-0011-R3a-SM-9QEH9	GTEX-1F75A-0011-R3b-SM-ARL8K	GTEX-1F7RK-0011-R3b-SM-9OSWJ	GTEX-1GF9W-0011-R3b-SM-CJI2S	GTEX-1GMR8-0011-R3b-SM-9QEIG	GTEX-1GN73-0011-R3b-SM-9QEIL	GTEX-1GTWX-0011-R3b-SM-CJI2Z	GTEX-1GZ2Q-0011-R3a-SM-A96RP	GTEX-1GZ4I-0011-R3b-SM-9OSWP	GTEX-1H1ZS-0011-R3b-SM-CE6RS	GTEX-1H23P-0011-R3b-SM-CL54S	GTEX-1H2FU-0011-R3b-SM-CKZP4	GTEX-1H3O1-0011-R3a-SM-ACKVD	GTEX-1H3VE-0011-R3a-SM-CE6SK	GTEX-1HB9E-0011-R3a-SM-ARL7D	GTEX-1HBPH-0011-R3a-SM-A96RY	GTEX-1HCU6-0011-R3a-SM-ARU75	GTEX-1HFI6-0011-R3b-SM-A9SKB	GTEX-1HGF4-0011-R3b-SM-CL54W	GTEX-1HR98-0011-R3b-SM-A9G1U	GTEX-1HUB1-0011-R3b-SM-CKZOX	GTEX-1I1GR-0011-R3a-SM-CM2T4	GTEX-1I1GS-0011-R3b-SM-CYPS7	GTEX-1I1GV-0011-R3a-SM-CL557	GTEX-1IDJH-0011-R3a-SM-CJI42	GTEX-1IKJJ-0011-R3b-SM-C1YRW	GTEX-1IKK5-0011-R3b-SM-C1YRY	GTEX-1J1OQ-0011-R3b-SM-D4P2B	GTEX-1J8EW-0011-R3a-SM-ARU8A	GTEX-1J8Q2-0011-R3b-SM-ACKVG	GTEX-1JJEA-0011-R3b-SM-EXUTD	GTEX-1JMOU-0011-R3a-SM-EYYXN	GTEX-1JMPZ-0011-R3a-SM-EYYWX	GTEX-1KD4Q-0011-R3b-SM-EXOID	GTEX-1LVAO-0011-R3a-SM-EXOI7	GTEX-1MCQQ-0011-R3a-SM-EXURW	GTEX-1N2EE-0011-R3b-SM-EXURY	GTEX-N7MS-0011-R3a-SM-33HC6	GTEX-N7MT-0011-R3a-SM-2I3GC	GTEX-NL3H-0011-R3a-SM-2I3GL	GTEX-NPJ8-0011-R3a-SM-2HMIW	GTEX-P44G-0011-R3A-SM-2I3FC	GTEX-P44H-0011-R3A-SM-D3L8E	GTEX-PVOW-0011-R3A-SM-32PKX	GTEX-PWO3-0011-R3A-SM-2I5EX	GTEX-Q2AG-0011-R3A-SM-2HMJ9	GTEX-QDT8-0011-R3A-SM-32PKR	GTEX-QVUS-0011-R3A-SM-3GAFD	GTEX-RNOR-0011-R3A-SM-5SI8E	GTEX-RVPV-0011-R3A-SM-2TF63	GTEX-T2IS-0011-R3A-SM-32QPB	GTEX-UTHO-0011-R3A-SM-3GIK8	GTEX-WHSE-0011-R3A-SM-3P5ZM	GTEX-WL46-0011-R3A-SM-3TW8E	GTEX-WZTO-0011-R3B-SM-3NMC6	GTEX-X4EP-0011-R3A-SM-3P626	GTEX-X4XX-0011-R3B-SM-46MWK	GTEX-X4XY-0011-R3B-SM-EXOHI	GTEX-X585-0011-R3B-SM-46MVG	GTEX-XLM4-0011-R3B-SM-4AT6E	GTEX-XMD1-0011-R3B-SM-4AT5R	GTEX-Y8DK-0011-R3A-SM-4RTW5	GTEX-YFC4-0011-R3a-SM-4RGLP	GTEX-YJ89-0011-R3b-SM-4V6EF	GTEX-Z93S-0011-R3b-SM-4RGNH	GTEX-ZAB4-0011-R3a-SM-4RGNQ	GTEX-ZDXO-0011-R3a-SM-4WKFS	GTEX-ZE9C-0011-R3a-SM-4WKGT	GTEX-ZF28-0011-R3a-SM-4WWDA	GTEX-ZUA1-0011-R3a-SM-4YCEE	GTEX-ZVT3-0011-R3b-SM-51MTJ	GTEX-ZVZQ-0011-R3a-SM-57WC7
ENSG00000257941.1	RP11-290L1.4	0.6943	0.5698	0.7226	0.1918	0.57	0.41700000000000004	0.1424	0.05897	0.0	0.5029	0.3303	0.1747	0.5186	0.1455	0.4659	0.6151	0.2989	1.054	1.663	0.4657	0.0	0.2845	0.6132	0.1816	1.194	0.2993	0.5439	0.041819999999999996	0.4549	0.9821	0.8455	0.7517	0.0	1.166	0.8003	0.2108	1.024	0.537	0.138	0.4112	0.0308	0.4811	0.6452	1.406	0.0335	0.4607	0.2067	1.3730000000000002	0.3822	1.618	3.292	0.35	0.4625	1.3869999999999998	0.1199	0.09349	1.073	0.2091	0.08644	0.8398	0.6243	0.2979	0.5276	0.8542	0.4101	0.02137	0.1737	0.3989	0.1829	0.3868	1.1159999999999999	1.337	0.3808	1.112	1.179	0.154	1.99	0.5145	0.0511	0.517	0.1853	0.04679	0.7466	0.2397	1.162	0.4065	0.2556	0.4491	1.9280000000000002	0.8947	0.5562	0.5062	0.5224	0.2204	0.4571	0.9095	0.2179	0.4393	1.295	0.1188	0.08595	1.453	1.063	0.4368	0.09034	0.0	0.2086	0.3708	0.4181	1.589	1.77	0.3	0.1858	1.984	0.5057	0.0396	1.521	0.09641	0.5812	0.276	1.2770000000000001	1.163	0.2598	0.1367	0.8358	1.1340000000000001	0.3344	0.6138	1.9769999999999999	1.3090000000000002	0.0	0.3988	0.152	0.7273	0.9099	0.5389	0.1963	0.3084	0.1527	0.0	0.6389	2.573	1.7480000000000002	0.0468	1.198	1.328	0.9993	2.6180000000000003	0.6559	1.501	1.824	1.063	1.436	1.475	1.409	0.2788	0.8463	0.9735	2.306	1.807	0.9766	0.3836	0.9747	1.45	0.2157	1.235	1.375	0.7647	1.3	0.9809	1.545	0.3885	0.1417	0.5471	0.1239	0.3862
ENSG00000133636.10	NTS	0.08144	0.08355	0.05779	0.0	0.0	0.1572	0.2088	0.0	0.7603	0.295	0.0	0.0	0.05702	0.0	0.2049	0.0492	0.0526	0.3415	0.2582	0.1366	0.04721	1.7109999999999999	0.05395	0.05325	0.0	0.0	0.05317	0.01839	0.05002	0.0864	0.09917999999999999	0.1323	0.4619	0.0	0.0	0.0	0.0563	0.05906	0.0	0.0	0.0	0.0907	0.08109	0.0	0.05894	0.1247	0.0	0.040260000000000004	0.0	0.1581	0.0	0.0	0.0	0.183	0.0	0.1234	0.149	0.0	0.0	0.0	0.6042	0.2839	0.0	0.04175	4.636	1.194	0.4583	1.597	0.0	0.4424	0.155	0.2117	0.05584	0.2445	0.1596	0.2032	0.2839	0.2263	0.0	0.05685	0.08151	0.08232	0.09383	0.02109	0.06387000000000001	0.2861	0.0	0.03592	0.2949	0.0926	0.2097	2.551	0.1254	0.7174	0.7595	0.0	0.0	0.05946	0.3323	0.02613	0.18899999999999997	0.03551	0.03897	0.4323	0.07947	0.2287	1.615	0.29	0.03344	0.1398	0.03708	0.05279	0.0	0.09698999999999999	0.0	0.0	0.0	0.0	0.2557	0.04856	0.0468	0.2924	0.04571	0.08015	0.0	0.0	0.09805	0.08526	0.04969	0.2133	0.1118	0.07017000000000001	0.0	0.03555	0.06157000000000001	0.05268	0.1151	0.0	0.03358	0.0	0.3747	0.05325	0.09047999999999999	0.0	0.1386	0.0	0.0	0.1828	0.1649	0.07336000000000001	0.0	0.0	0.1685	0.5676	0.0	0.0	0.07837000000000001	0.2015	0.1014	0.08832000000000001	0.07811	0.09204	0.2858	0.1472	0.1265	0.3018	0.1052	0.0	0.06726	0.1438	0.026139999999999997	0.1899	0.1247	2.503	0.07269	0.2265
ENSG00000133639.4	BTG1	8.34	17.14	10.12	8.969	11.05	8.209	13.41	12.71	7.167999999999999	9.154	7.966	12.01	12.48	7.827000000000001	12.69	8.971	12.8	8.557	13.28	12.39	16.34	10.89	9.613	21.57	13.87	12.09	10.63	9.646	10.58	20.56	23.07	12.86	18.16	12.23	9.602	11.05	10.01	15.89	9.613	18.85	5.454	10.71	13.47	15.1	8.385	14.49	12.03	11.69	16.01	14.22	14.27	10.97	13.39	17.73	10.45	9.187999999999999	9.525	7.057	5.705	19.6	12.27	8.845	8.183	8.544	10.71	13.13	11.91	15.7	10.37	15.3	10.02	9.572000000000001	14.22	15.46	14.14	11.19	14.52	11.99	10.53	11.98	13.39	14.55	15.36	7.9	17.9	12.77	12.74	10.76	16.66	10.18	13.15	16.7	13.46	12.13	12.26	19.83	9.577	9.15	15.89	7.301	10.17	12.75	15.77	18.11	11.43	11.01	7.742000000000001	11.79	14.37	16.82	13.24	15.01	8.971	12.55	11.58	8.856	17.07	7.061	19.3	7.688	10.35	14.84	12.98	8.362	8.576	14.01	17.31	12.58	17.29	15.61	14.13	18.97	6.724	12.91	15.39	20.03	17.06	8.742	16.51	10.04	11.31	11.75	19.21	14.68	37.82	12.62	15.98	17.92	18.42	10.41	22.71	20.28	9.597999999999999	15.91	12.23	18.46	13.3	10.12	16.07	145.3	24.07	9.437000000000001	29.54	14.81	19.77	12.88	9.917	10.5	14.51	16.32	12.04	10.85	15.97	14.74	10.4	8.904
ENSG00000185950.8	IRS2	16.21	28.71	21.47	7.269	10.96	6.102	14.26	9.297	4.273	18.37	7.599	14.48	19.6	7.011	18.56	15.93	12.33	22.71	34.23	21.64	10.0	13.84	13.72	18.35	21.85	17.24	12.39	7.7829999999999995	11.05	26.25	15.65	10.91	31.51	18.55	23.14	19.3	15.89	20.85	8.224	15.61	5.171	7.727	14.53	21.56	6.337999999999999	16.54	16.49	23.49	20.44	23.54	25.65	9.422	16.95	24.03	11.87	10.02	29.84	6.02	6.941	29.64	20.52	7.329	14.98	12.82	9.838	10.67	19.39	12.85	8.582	16.36	13.28	30.91	12.15	29.98	20.91	13.36	24.5	21.4	10.75	19.9	10.05	20.77	23.0	7.636	23.28	12.94	17.83	11.05	38.5	23.36	23.79	27.03	11.32	17.92	13.97	24.01	12.59	7.445	27.71	5.728	8.285	17.75	24.85	15.83	14.92	23.67	15.0	14.59	20.03	32.95	22.61	19.43	10.36	20.13	18.67	8.786	20.89	5.737	26.89	8.815	16.46	20.99	13.34	7.681	12.46	19.66	19.58	13.06	28.4	27.83	13.93	22.42	4.574	20.02	19.96	18.91	25.03	11.54	24.43	11.52	23.03	29.81	16.9	26.34	22.75	32.44	25.25	43.19	14.3	29.02	24.05	30.45	26.04	19.9	27.09	22.42	22.4	29.74	32.95	48.05	29.61	8.135	40.56	29.19	20.14	17.29	25.19	17.83	33.67	28.8	21.9	12.89	14.54	14.64	8.545	11.83
ENSG00000015133.18	CCDC88C	0.9059999999999999	1.518	1.1059999999999999	1.252	1.557	1.0270000000000001	1.051	1.104	0.7647	1.124	0.9303	0.7555	1.807	0.4305	1.262	1.591	0.956	1.044	2.0709999999999997	1.36	0.9954	7.2589999999999995	1.912	1.298	1.715	1.883	1.406	0.7519	1.475	3.303	2.114	1.511	1.932	1.574	1.358	1.4040000000000001	1.5219999999999998	1.99	1.662	2.617	1.136	1.5430000000000001	1.686	1.706	0.6424	2.013	1.011	1.0390000000000001	1.455	1.844	1.047	1.524	1.675	1.8780000000000001	1.8769999999999998	1.662	2.105	0.8249	0.4845	1.511	1.307	1.297	1.216	1.3259999999999998	0.9636	1.1740000000000002	0.8053	2.12	0.9431	1.149	1.089	0.6969	1.8419999999999999	1.301	1.26	1.8090000000000002	1.8519999999999999	2.134	1.061	0.9965	0.7943	0.8546	2.012	0.7637	1.016	1.4340000000000002	1.047	1.656	2.427	1.452	1.431	2.024	1.919	0.7299	1.185	1.5130000000000001	0.6303	0.825	2.079	0.7808	0.7948	1.015	1.736	0.87	1.121	0.7877	0.629	1.4909999999999999	1.618	3.234	2.23	1.0959999999999999	1.011	2.6319999999999997	1.379	0.8631	1.85	0.4334	0.7772	0.9422	1.949	1.409	1.0759999999999998	0.6791	1.619	1.1059999999999999	2.9589999999999996	1.588	3.8089999999999997	1.6669999999999998	0.8436	1.112	0.8109	1.207	2.135	1.7380000000000002	1.8430000000000002	0.6567	1.121	0.7626	2.125	1.138	1.7730000000000001	0.7403	1.4880000000000002	2.01	1.845	2.213	1.234	2.0540000000000003	2.778	0.599	1.0270000000000001	1.778	0.9019	0.6861	2.0909999999999997	3.1180000000000003	1.125	9.254	2.693	0.4624	2.576	1.52	0.9940000000000001	1.0659999999999998	1.205	1.651	1.3090000000000002	1.228	1.962	1.051	1.376	1.2670000000000001	0.9097	0.9265
ENSG00000166710.17	B2M	139.8	139.9	156.7	146.5	185.9	151.2	255.1	136.2	230.5	110.7	134.5	206.9	93.11	136.2	206.5	186.0	155.2	177.7	150.4	204.2	331.4	173.9	125.9	164.7	103.7	282.4	168.2	125.0	215.5	146.3	433.1	270.4	217.2	145.4	138.6	150.4	192.6	247.7	142.5	148.9	127.9	187.5	214.5	285.8	179.9	137.5	222.5	160.9	271.5	157.4	323.0	299.2	181.0	267.7	119.0	100.3	143.2	115.7	105.3	167.1	130.1	143.8	121.9	155.6	244.5	302.4	168.3	395.7	287.5	397.7	148.3	235.4	173.3	250.6	295.3	165.2	221.3	201.2	522.9	134.4	203.2	225.7	216.8	209.3	417.8	170.6	146.4	210.4	138.1	180.9	176.7	308.9	197.4	169.4	181.6	451.1	102.8	195.7	221.3	152.7	175.6	243.4	255.9	246.5	143.3	161.2	127.2	120.2	207.4	171.5	120.7	176.9	187.8	233.7	183.8	104.6	194.8	109.5	597.4	138.3	121.5	213.9	156.6	201.2	126.5	167.5	209.1	212.1	123.3	174.6	70.14	264.0	174.2	103.3	214.7	289.0	392.2	124.6	363.5	121.7	170.1	184.7	609.7	152.4	786.9	121.7	238.1	250.1	561.8	127.4	393.8	308.5	155.8	186.3	204.5	336.0	198.0	170.4	190.2	6161.0	194.4	329.6	457.0	316.2	295.4	177.7	186.0	122.5	177.6	321.6	172.8	247.4	186.1	265.5	253.0	166.7
ENSG00000140488.15	CELF6	20.41	19.39	24.42	7.392	8.164	6.107	4.702	6.664	2.7110000000000003	20.59	9.44	18.35	20.06	6.454	19.58	17.05	11.69	24.92	32.57	29.37	10.62	10.33	15.57	8.955	18.29	15.5	12.77	3.1510000000000002	7.8420000000000005	29.14	12.41	14.62	18.45	18.36	26.57	18.64	17.86	9.116	8.372	15.13	5.156000000000001	7.329	18.73	24.22	2.865	15.55	11.06	28.45	16.91	28.57	33.59	5.593	23.65	21.74	14.55	10.13	32.83	6.103	4.143	34.57	23.77	5.875	13.53	13.92	8.757	5.454	18.5	8.408999999999999	5.496	20.79	12.21	26.84	12.82	27.64	25.63	11.45	22.33	22.82	5.7589999999999995	19.46	7.459	24.8	29.75	4.263	17.69	16.28	12.87	14.68	25.75	25.53	28.69	12.88	13.68	27.29	12.5	25.23	11.18	3.429	27.02	5.035	5.164	21.2	22.71	7.888	16.81	24.44	18.72	15.13	21.47	30.73	24.32	21.11	9.366	18.61	9.19	4.0	25.52	3.4410000000000003	22.6	9.038	13.74	26.16	8.571	7.688	15.09	24.88	12.27	12.09	35.54	27.55	9.947000000000001	16.71	4.283	14.88	25.9	14.3	21.57	8.591000000000001	19.87	11.51	25.2	28.32	20.84	14.14	21.89	19.28	20.04	38.8	10.63	31.46	17.53	30.59	28.27	18.16	25.23	21.09	24.5	26.83	38.25	12.03	25.99	4.476	27.03	37.49	13.64	22.8	31.84	17.89	32.23	27.25	26.34	14.32	10.07	20.27	6.896	14.1
ENSG00000091622.15	PITPNM3	46.05	45.61	47.89	12.6	13.04	8.234	12.46	11.57	3.9819999999999998	51.68	10.8	52.02	57.64	6.082000000000001	50.14	55.83	25.88	72.7	78.53	52.26	12.32	33.11	44.81	22.19	64.85	60.9	27.86	8.514	18.53	69.48	17.21	21.8	72.9	36.44	73.07	54.78	47.66	18.16	16.54	26.76	10.99	8.562000000000001	44.12	46.7	5.12	42.04	26.52	62.75	45.42	75.86	56.06	11.01	75.9	49.62	37.16	24.58	82.59	18.57	10.67	75.51	64.29	22.22	34.93	34.3	63.71	23.65	42.34	21.73	7.084	32.81	36.86	72.12	24.52	65.98	39.02	40.84	48.63	66.44	9.01	51.3	5.7010000000000005	60.18	92.94	7.725	35.24	31.58	24.96	28.72	79.62	76.66	49.16	43.72	20.6	45.46	33.09	37.65	17.79	1.9909999999999999	61.11	7.0	13.25	36.11	33.83	12.61	30.4	56.15	54.31	41.46	44.01	58.73	48.23	71.32	12.0	58.84	29.99	6.968	49.91	6.994	46.65	19.42	33.06	63.15	20.58	5.981	29.68	52.21	38.68	15.32	68.69	56.59	34.99	54.59	8.454	36.52	60.54	37.57	47.86	16.83	58.62	32.52	65.65	62.17	8.68	35.85	18.31	63.76	73.76	81.16	11.72	80.53	55.46	44.39	60.74	44.59	60.69	41.08	95.58	66.24	69.4	7.5889999999999995	48.47	6.321000000000001	47.69	63.31	17.21	48.14	51.79	42.05	122.9	55.28	75.26	20.52	14.91	31.79	7.944	32.08
ENSG00000197971.14	MBP	490.8	228.0	252.8	611.7	429.4	211.7	1212.0	232.4	1172.0	305.2	1189.0	433.0	217.2	615.8	1445.0	603.5	286.2	677.6	298.1	260.0	2922.0	609.9	223.4	596.7	170.7	430.3	936.1	248.0	166.9	177.7	666.9	161.9	514.4	83.44	404.8	144.4	868.0	200.8	120.2	136.0	401.5	161.8	85.09	97.33	720.1	126.9	56.38	209.8	129.5	121.6	1439.0	296.8	387.5	90.42	148.8	184.0	603.0	127.3	462.2	132.0	199.6	1986.0	129.8	249.9	1454.0	1001.0	378.0	328.8	302.8	5497.0	278.1	322.3	100.5	716.4	1061.0	310.2	1047.0	113.8	315.1	217.8	1666.0	146.8	98.81	382.5	239.1	206.1	653.8	2290.0	103.7	171.6	141.0	163.7	111.8	374.5	388.4	147.5	107.2	5430.0	250.0	161.0	663.6	3315.0	278.1	1783.0	416.4	1210.0	414.2	369.6	104.8	109.6	108.1	1334.0	1281.0	209.9	116.0	286.4	111.2	327.1	3374.0	1678.0	121.0	1167.0	361.2	1915.0	85.22	187.9	137.4	363.2	84.03	181.0	287.5	229.8	297.8	325.0	61.85	54.69	1004.0	1325.0	315.3	514.7	188.9	245.5	5866.0	581.8	2718.0	332.0	319.4	1372.0	948.1	385.8	191.7	545.9	752.2	1375.0	434.1	1400.0	227.8	306.5	364.8	41.09	287.8	1567.0	368.5	181.9	2512.0	753.5	263.0	259.8	119.1	173.2	420.7	2274.0	428.3	139.9	218.2	1535.0
ENSG00000064787.13	BCAS1	77.74	50.77	40.76	119.3	67.28	43.96	169.8	43.45	191.6	56.88	162.7	50.45	42.41	86.59	168.8	96.63	45.83	72.92	51.64	36.23	360.9	86.69	36.78	86.86	26.67	114.8	119.1	40.5	45.17	37.28	150.3	31.89	90.8	15.61	69.18	26.26	119.8	53.94	32.52	18.63	48.12	36.66	18.99	22.97	96.82	24.44	28.93	43.17	33.91	28.14	154.9	51.81	51.38	17.58	27.22	31.25	91.25	26.41	99.02	26.26	33.1	281.7	24.39	46.26	265.9	169.7	64.97	85.13	58.04	713.9	45.73	57.63	18.46	105.8	161.5	54.35	183.3	21.46	52.51	36.46	348.2	30.93	16.76	72.02	53.34	37.39	94.2	268.2	19.94	31.77	26.01	25.66	23.47	45.1	62.17	23.27	20.83	572.9	43.6	29.18	87.13	346.8	47.25	233.3	62.57	142.8	56.75	53.47	21.35	22.35	19.77	194.8	168.7	55.92	25.9	52.64	19.68	70.12	379.7	183.5	24.0	152.5	65.1	267.4	20.01	35.64	50.58	69.23	17.71	32.34	53.58	58.74	47.6	51.39	15.01	11.53	194.9	149.8	54.98	68.36	28.21	39.38	631.7	101.0	307.8	37.98	76.79	123.3	143.3	54.57	41.12	93.61	82.88	161.8	54.63	230.4	32.07	55.01	47.65	22.15	44.71	206.0	96.71	34.51	317.1	96.28	33.28	40.17	29.84	33.14	64.85	334.1	61.58	27.28	51.27	191.9
ENSG00000100271.16	TTLL1	13.96	14.25	19.6	7.995	7.52	5.524	4.228	5.792000000000001	3.864	12.76	7.242999999999999	9.732999999999999	12.47	4.124	13.3	11.79	9.357000000000001	16.16	21.65	21.19	5.015	12.08	12.77	7.365	11.13	10.46	10.72	3.0039999999999996	7.565	18.2	18.51	9.735	13.51	13.74	15.38	11.59	11.87	9.841000000000001	7.5089999999999995	14.13	5.532	7.62	14.9	14.6	2.456	11.29	5.89	14.78	13.21	15.86	24.1	7.12	12.37	17.56	11.06	6.39	20.36	3.742	3.628	18.51	16.15	11.23	9.137	9.775	9.288	12.62	14.96	9.414	5.056	19.14	13.69	17.33	11.17	21.7	20.07	9.453	17.45	15.79	5.487	10.75	4.018	15.95	16.03	4.471	9.818999999999999	13.17	9.273	10.52	15.64	16.97	19.05	9.175	9.975	15.02	9.158	14.52	9.198	3.728	15.29	4.67	6.159	14.62	15.31	7.064	9.387	17.96	8.485	11.69	13.4	13.05	16.98	13.02	7.4510000000000005	13.56	7.452999999999999	5.603	15.17	3.2510000000000003	16.33	6.21	7.994	15.44	7.274	3.005	11.76	13.66	11.77	7.565	24.02	19.39	7.405	18.21	4.109	9.641	19.24	11.81	16.36	8.331	13.66	9.35	17.12	20.5	14.85	8.541	17.56	18.4	15.7	19.34	10.89	21.55	13.79	24.47	19.49	12.77	22.07	10.35	8.897	21.7	22.69	6.66	16.47	4.921	17.19	22.4	10.96	13.98	25.25	15.65	14.43	23.19	14.38	9.525	8.414	12.81	4.406000000000001	11.06
